iter	Passed	Remaining
0	2	207
1	3	188
2	5	179
3	6	165
4	8	165
5	10	162
6	12	162
7	13	159
8	15	157
9	17	156
10	19	154
11	20	152
12	22	150
13	24	148
14	25	147
15	27	145
16	29	144
17	31	142
18	32	140
19	34	138
20	36	136
21	38	134
22	39	132
23	41	131
24	43	129
25	45	128
26	46	126
27	48	124
28	50	122
29	51	120
30	53	118
31	55	117
32	57	116
33	58	114
34	60	112
35	62	110
36	63	108
37	65	107
38	67	105
39	69	103
40	70	101
41	71	98
42	73	97
43	74	95
44	76	93
45	78	91
46	80	90
47	81	88
48	83	86
49	85	85
50	88	84
51	90	83
52	92	82
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	102	71
59	104	69
60	105	67
61	107	65
62	109	64
63	111	62
64	112	60
65	114	59
66	116	57
67	117	55
68	119	53
69	121	52
70	123	50
71	124	48
72	126	46
73	128	45
74	130	43
75	132	41
76	134	40
77	136	38
78	137	36
79	139	34
80	141	33
81	143	31
82	144	29
83	146	27
84	148	26
85	149	24
86	151	22
87	153	20
88	155	19
89	157	17
90	158	15
91	160	13
92	162	12
93	163	10
94	165	8
95	167	6
96	168	5
97	170	3
98	172	1
99	174	0
