iter	Passed	Remaining
0	160	160721
1	167	83523
2	170	56689
3	173	43182
4	178	35481
5	182	30173
6	184	26200
7	187	23247
8	191	21044
9	195	19308
10	198	17831
11	201	16570
12	206	15667
13	213	15030
14	216	14189
15	222	13685
16	225	13063
17	228	12485
18	232	11979
19	235	11531
20	238	11125
21	241	10748
22	246	10487
23	249	10142
24	252	9841
25	256	9591
26	263	9500
27	266	9259
28	269	9031
29	278	8991
30	299	9373
31	305	9247
32	316	9284
33	342	9734
34	350	9660
35	372	9971
36	390	10173
37	408	10329
38	417	10279
39	422	10129
40	438	10267
41	442	10102
42	451	10049
43	514	11168
44	518	10995
45	521	10824
46	532	10806
47	536	10636
48	542	10523
49	585	11130
50	590	10988
51	593	10824
52	597	10678
53	600	10524
54	604	10392
55	608	10253
56	642	10635
57	646	10498
58	650	10369
59	658	10315
60	672	10355
61	677	10246
62	680	10121
63	685	10025
64	724	10422
65	737	10439
66	743	10348
67	746	10236
68	753	10165
69	765	10174
70	772	10114
71	776	10005
72	834	10603
73	842	10543
74	854	10535
75	857	10421
76	861	10325
77	868	10266
78	871	10160
79	874	10056
80	878	9962
81	882	9881
82	884	9769
83	887	9676
84	893	9622
85	901	9578
86	903	9481
87	905	9388
88	908	9299
89	977	9887
90	992	9910
91	995	9829
92	999	9748
93	1002	9666
94	1005	9582
95	1008	9501
96	1012	9425
97	1017	9363
98	1040	9466
99	1050	9456
100	1053	9381
101	1056	9303
102	1064	9269
103	1067	9192
104	1069	9115
105	1071	9039
106	1074	8971
107	1081	8932
108	1084	8865
109	1087	8802
110	1097	8786
111	1103	8746
112	1116	8764
113	1135	8824
114	1163	8951
115	1170	8918
116	1185	8948
117	1189	8892
118	1192	8831
119	1202	8817
120	1218	8853
121	1222	8799
122	1236	8818
123	1272	8991
124	1284	8990
125	1299	9015
126	1302	8953
127	1306	8901
128	1312	8863
129	1317	8814
130	1320	8760
131	1329	8740
132	1331	8681
133	1334	8622
134	1336	8564
135	1342	8529
136	1345	8474
137	1347	8417
138	1351	8370
139	1363	8378
140	1368	8335
141	1375	8308
142	1377	8256
143	1380	8204
144	1383	8155
145	1391	8137
146	1400	8125
147	1403	8077
148	1405	8029
149	1409	7987
150	1420	7984
151	1432	7993
152	1435	7949
153	1440	7911
154	1444	7875
155	1449	7843
156	1452	7798
157	1455	7755
158	1460	7723
159	1463	7682
160	1465	7635
161	1468	7594
162	1471	7554
163	1477	7533
164	1480	7492
165	1483	7451
166	1485	7412
167	1490	7381
168	1493	7345
169	1496	7307
170	1499	7267
171	1502	7232
172	1506	7200
173	1508	7161
174	1511	7123
175	1513	7085
176	1516	7050
177	1520	7021
178	1522	6984
179	1525	6949
180	1528	6917
181	1533	6891
182	1537	6862
183	1539	6828
184	1542	6793
185	1544	6761
186	1548	6733
187	1552	6706
188	1555	6673
189	1557	6640
190	1570	6652
191	1576	6632
192	1581	6613
193	1584	6583
194	1588	6556
195	1598	6555
196	1600	6524
197	1603	6494
198	1605	6464
199	1611	6447
200	1615	6421
201	1617	6391
202	1620	6361
203	1626	6346
204	1629	6318
205	1631	6289
206	1634	6260
207	1638	6237
208	1641	6213
209	1644	6185
210	1646	6157
211	1656	6156
212	1659	6132
213	1683	6184
214	1688	6164
215	1695	6154
216	1699	6133
217	1702	6107
218	1705	6080
219	1707	6053
220	1709	6026
221	1712	6000
222	1714	5972
223	1716	5946
224	1719	5922
225	1721	5895
226	1723	5870
227	1726	5844
228	1728	5818
229	1734	5806
230	1737	5785
231	1744	5775
232	1747	5753
233	1750	5730
234	1753	5709
235	1757	5690
236	1774	5712
237	1782	5705
238	1786	5688
239	1790	5669
240	1793	5648
241	1797	5631
242	1800	5609
243	1803	5589
244	1806	5565
245	1808	5544
246	1812	5524
247	1814	5501
248	1816	5479
249	1818	5456
250	1821	5434
251	1823	5412
252	1826	5391
253	1828	5369
254	1830	5348
255	1832	5326
256	1834	5305
257	1837	5283
258	1839	5263
259	1842	5242
260	1844	5221
261	1846	5201
262	1848	5181
263	1851	5160
264	1853	5141
265	1856	5121
266	1858	5101
267	1860	5081
268	1862	5062
269	1865	5045
270	1869	5027
271	1871	5008
272	1873	4989
273	1875	4970
274	1878	4951
275	1880	4932
276	1882	4914
277	1885	4896
278	1887	4878
279	1889	4859
280	1892	4842
281	1894	4824
282	1897	4806
283	1899	4788
284	1901	4771
285	1903	4753
286	1906	4735
287	1908	4717
288	1910	4700
289	1913	4684
290	1915	4667
291	1917	4649
292	1919	4632
293	1921	4615
294	1923	4597
295	1926	4580
296	1928	4564
297	1930	4548
298	1932	4531
299	1935	4515
300	1937	4499
301	1940	4486
302	1943	4470
303	1945	4455
304	1948	4438
305	1949	4422
306	1951	4405
307	1953	4388
308	1955	4372
309	1957	4357
310	1959	4341
311	1961	4326
312	1963	4310
313	1965	4293
314	1967	4277
315	1969	4262
316	1971	4247
317	1973	4232
318	1975	4217
319	1978	4203
320	1979	4187
321	1981	4172
322	1983	4156
323	1985	4142
324	1987	4128
325	1989	4113
326	1991	4098
327	1993	4083
328	1995	4069
329	1996	4054
330	1998	4039
331	2000	4025
332	2004	4014
333	2006	4000
334	2007	3985
335	2009	3971
336	2011	3957
337	2012	3942
338	2015	3929
339	2017	3916
340	2020	3903
341	2022	3890
342	2024	3877
343	2026	3864
344	2028	3850
345	2030	3838
346	2033	3826
347	2035	3814
348	2037	3801
349	2040	3788
350	2041	3775
351	2043	3762
352	2046	3750
353	2048	3738
354	2050	3725
355	2053	3714
356	2055	3702
357	2071	3713
358	2073	3701
359	2075	3688
360	2078	3678
361	2081	3667
362	2084	3657
363	2086	3645
364	2088	3633
365	2092	3623
366	2095	3613
367	2098	3603
368	2100	3592
369	2102	3579
370	2104	3567
371	2107	3557
372	2109	3546
373	2112	3535
374	2114	3524
375	2117	3513
376	2128	3516
377	2131	3507
378	2133	3495
379	2135	3483
380	2137	3472
381	2139	3461
382	2142	3451
383	2145	3441
384	2148	3432
385	2151	3422
386	2154	3412
387	2158	3403
388	2160	3394
389	2163	3384
390	2166	3374
391	2169	3364
392	2172	3354
393	2174	3345
394	2177	3335
395	2179	3325
396	2182	3314
397	2184	3304
398	2187	3294
399	2189	3284
400	2193	3275
401	2195	3265
402	2197	3255
403	2199	3245
404	2201	3234
405	2204	3225
406	2207	3216
407	2209	3206
408	2211	3196
409	2215	3187
410	2218	3179
411	2220	3169
412	2222	3159
413	2224	3148
414	2227	3139
415	2229	3129
416	2231	3119
417	2235	3112
418	2237	3102
419	2239	3092
420	2242	3083
421	2244	3074
422	2246	3064
423	2250	3057
424	2252	3048
425	2254	3038
426	2257	3029
427	2260	3020
428	2262	3011
429	2264	3002
430	2266	2992
431	2268	2982
432	2271	2974
433	2273	2965
434	2276	2956
435	2279	2948
436	2281	2939
437	2283	2930
438	2286	2921
439	2289	2913
440	2292	2905
441	2294	2896
442	2296	2886
443	2299	2879
444	2302	2872
445	2306	2864
446	2309	2857
447	2320	2859
448	2322	2850
449	2326	2843
450	2330	2837
451	2369	2872
452	2373	2866
453	2376	2857
454	2382	2853
455	2387	2848
456	2391	2841
457	2397	2837
458	2399	2828
459	2402	2820
460	2405	2812
461	2407	2804
462	2410	2795
463	2411	2786
464	2413	2777
465	2415	2767
466	2417	2759
467	2420	2751
468	2422	2742
469	2424	2733
470	2425	2724
471	2427	2715
472	2429	2706
473	2430	2697
474	2433	2689
475	2435	2681
476	2437	2672
477	2439	2664
478	2442	2656
479	2443	2647
480	2445	2638
481	2447	2630
482	2450	2622
483	2452	2614
484	2456	2608
485	2457	2599
486	2459	2590
487	2461	2582
488	2463	2574
489	2466	2566
490	2468	2558
491	2469	2550
492	2471	2541
493	2473	2533
494	2475	2525
495	2476	2516
496	2479	2509
